
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.000s      0.284w    118 calls
Libint2ERI::Libint2ERI              :      1.883u      0.000s      1.007w    989 calls
DFH: initialize()                   :      8.050u      0.817s      8.151w    118 calls
DFH: AO Construction                :      3.000u      0.083s      1.791w    118 calls
DFH: AO-Met. Contraction            :      0.417u      0.000s      0.310w    118 calls
HF: Form core H                     :      0.250u      0.467s      0.730w    118 calls
HF: Form S/X                        :      0.033u      0.067s      0.036w    118 calls
HF: Guess                           :      6.567u      1.267s     12.175w    118 calls
SAD Guess                           :      6.250u      1.267s     11.996w    118 calls
HF: Form G                          :     39.167u      0.100s     23.576w   1798 calls
JK: D                               :      0.067u      0.000s      0.015w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w   1798 calls
JK: JK                              :     39.017u      0.067s     23.487w   1798 calls
DFH: compute_JK()                   :      1.667u      0.067s      0.901w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1163 calls
DFH: compute_J                      :      0.317u      0.033s      0.153w   1163 calls
DFH: compute_K                      :      1.317u      0.000s      0.675w   1163 calls
build_JK_matrices()                 :     34.617u      0.000s     21.176w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.033s      0.016w   1798 calls
HF: Form D                          :      0.017u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.000u      0.000s      3.276w   1680 calls
HF: Form C                          :      0.750u      0.000s      0.481w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.000s      0.284w    118 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.139w    118 calls
DFH: initialize()                   :      8.050u      0.817s      8.151w    118 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.000s      0.158w    236 calls
| DFH: AO Construction              :      3.000u      0.083s      1.791w    118 calls
| DFH: AO-Met. Contraction          :      0.417u      0.000s      0.310w    118 calls
HF: Form core H                     :      0.250u      0.467s      0.730w    118 calls
HF: Form S/X                        :      0.033u      0.067s      0.036w    118 calls
HF: Guess                           :      6.567u      1.267s     12.175w    118 calls
| SAD Guess                         :      6.250u      1.267s     11.996w    118 calls
HF: Form G                          :     39.167u      0.100s     23.576w   1798 calls
| JK: D                             :      0.067u      0.000s      0.015w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w   1798 calls
| JK: JK                            :     39.017u      0.067s     23.487w   1798 calls
